Voltage_measured,Current_measured,Temperature_measured,Current_charge,Voltage_charge,Time
0,-0.00120066069829791,24.6553578339151,0,0.003,0
-4.036,-4.03026847753879,24.6664798117748,-4.036,1.57,2.532
1.5,1.51273064747454,24.6753944700602,1.5,4.726,5.5
1.5,1.50906328192998,24.6938650938556,1.5,4.742,8.344
1.5,1.51131819290878,24.705069460327,1.5,4.753,11.125
1.498,1.51277913030508,24.7181397169436,1.498,4.758,13.891
1.5,1.51183834291577,24.7311441467293,1.5,4.764,16.672
1.5,1.51024540359745,24.741289654482,1.5,4.769,19.5
1.5,1.50779576230267,24.7590114137171,1.5,4.775,22.282
1.5,1.50732202593623,24.7668910946495,1.5,4.775,25.063
1.5,1.5102259388806,24.7783390761184,1.5,4.78,27.828
1.498,1.51185336042836,24.7956534090934,1.498,4.785,30.641
1.5,1.5101392891692,24.7956088630964,1.5,4.785,33.453
1.498,1.51281771358362,24.8075917860851,1.498,4.791,36.219
1.498,1.50957766109772,24.8266462528865,1.498,4.791,39.735
1.498,1.51277214556455,24.8374213327908,1.498,4.796,42.578
1.498,1.50976949432885,24.8467593027849,1.498,4.796,45.438
1.5,1.51136776968995,24.8491666584376,1.5,4.802,48.297
1.5,1.51339798430863,24.8529499815138,1.5,4.802,51.188
1.5,1.51119735245983,24.8650739852707,1.5,4.807,54.047
1.5,1.51124417298243,24.8750624728474,1.5,4.807,56.922
1.5,1.50811263104578,24.886489825324,1.5,4.812,59.797
1.498,1.50885266566507,24.9065392281085,1.498,4.812,62.688
1.498,1.51034530654232,24.9093029771151,1.498,4.812,65.657
1.5,1.51388071807625,24.9140030695592,1.5,4.818,68.547
1.498,1.5075492173309,24.9263850317659,1.498,4.818,71.453
1.5,1.51128716435571,24.9378728948095,1.5,4.818,74.344
1.5,1.51206330759896,24.9514677083522,1.5,4.823,77.235
1.5,1.51258570808728,24.9507894417961,1.5,4.823,80.188
1.5,1.50939482163725,24.9815381494247,1.5,4.829,83.172
1.5,1.51015524284551,24.9921471499287,1.5,4.829,86.094
1.5,1.50618316097048,24.9974922129566,1.5,4.829,89.016
1.5,1.51109600547263,25.0028967555398,1.5,4.829,91.922
1.498,1.512965269792,25.0095366961397,1.498,4.834,94.907
1.5,1.50963281108801,25.0236457319541,1.5,4.834,97.844
1.498,1.51144181296304,25.0363629252489,1.498,4.834,100.766
1.5,1.51111947298452,25.0450956375724,1.5,4.834,103.75
1.5,1.51439323219826,25.0567594036521,1.5,4.834,106.703
1.5,1.5123904801109,25.0639003396854,1.5,4.839,109.641
1.5,1.51002406341279,25.0689234040114,1.5,4.839,112.641
1.5,1.51073994952071,25.0822131893318,1.5,4.839,115.594
1.5,1.51006865367835,25.0958309424231,1.5,4.839,118.547
1.5,1.50981504617895,25.1034397361502,1.5,4.839,121.532
1.5,1.51192984580926,25.1164980128814,1.5,4.839,124.5
1.5,1.51071286756576,25.1249454994815,1.5,4.845,127.532
1.5,1.5112489393719,25.1392043788293,1.5,4.845,130.516
1.498,1.51053305165643,25.1423180704678,1.498,4.845,133.563
1.498,1.51009452965148,25.1543998857542,1.498,4.845,136.563
1.5,1.51252205409579,25.1708013742954,1.5,4.845,139.563
1.5,1.50954569882896,25.178837855516,1.5,4.85,142.563
1.5,1.51010640543327,25.1869797859976,1.5,4.845,145.594
1.5,1.51369699381679,25.1964115730664,1.5,4.85,148.578
1.498,1.5118107149574,25.209359776169,1.498,4.85,151.61
1.5,1.50907771379549,25.2135263392711,1.5,4.85,154.672
1.5,1.50916830726631,25.2274981344529,1.5,4.85,157.735
1.5,1.5086648778122,25.2372671112775,1.5,4.85,160.782
1.5,1.50697007379598,25.2474225593616,1.5,4.85,163.844
1.5,1.51141690728354,25.2500318892958,1.5,4.856,166.922
1.5,1.51100970164102,25.2666041089625,1.5,4.856,170.032
1.5,1.50839478595109,25.2694216383698,1.5,4.856,173.11
1.5,1.51225148578795,25.2860847815257,1.5,4.856,176.188
1.5,1.50960245862411,25.2941498634567,1.5,4.856,179.266
1.5,1.51295925874786,25.3048210009344,1.5,4.856,182.422
1.5,1.50933224180992,25.3161402155983,1.5,4.856,185.563
